module,submodule,id,question,tags,answer
LLM基础与训练,训练全景,LLM-B01,大模型（LLM）整体是怎么训练出来的？从数据、目标函数到训练流程分别是什么？,"pretrain,objective,pipeline","大模型的训练分为三个核心阶段：数据准备、目标函数设计和训练流程。

数据方面，主要使用海量、多样、高质量的公开文本语料，如网页、书籍、代码、百科等；需经过去重、过滤低质内容、脱敏、语言识别、分词预处理，并按比例混合不同语种和领域数据，确保分布合理与安全性。

目标函数采用自回归语言建模（Autoregressive LM），即最大化序列的条件概率乘积，等价于最小化下一个token的交叉熵损失。这是无监督的生成式目标，不依赖人工标注标签。

训练流程通常分两步：先进行大规模预训练（Pretraining），在超大规模算力集群上用混合精度分布式训练持续数周至数月；再根据下游任务需求，可选监督微调（SFT）、奖励建模与强化学习（RLHF）或直接部署。整个过程高度依赖工程优化，包括梯度检查点、ZeRO优化、FlashAttention等技术以支撑百亿/千亿参数规模的稳定训练。"
LLM基础与训练,Transformer基础,LLM-B02,Transformer 架构核心模块是什么？Self-Attention/FFN/Residual/LayerNorm 分别解决什么问题？,"transformer,attention","Transformer的核心模块是Self-Attention和前馈神经网络（FFN），配合残差连接（Residual）与层归一化（LayerNorm）构成基本编码器/解码器层。

Self-Attention解决长程依赖建模问题，通过计算词元间全局注意力权重，实现上下文感知的动态表征，克服RNN/CNN的局部性或序列长度限制。

FFN解决特征非线性变换与升维表达问题，在注意力输出后引入独立的两层全连接映射，增强模型表达能力。

Residual连接缓解深层网络训练中的梯度消失与退化问题，使信息与梯度可跨层直通，支撑更深架构稳定优化。

LayerNorm解决内部协变量偏移问题，对每层输入沿特征维度归一化，提升训练稳定性与收敛速度，适配变长序列输入。"
LLM基础与训练,编码器解码器,LLM-B03,Transformer 的 Encoder / Decoder 各自结构与作用是什么？典型应用场景有哪些差异？,encoder-decoder,"Transformer 的 Encoder 由多层相同结构堆叠而成，每层包含多头自注意力机制和前馈神经网络，中间配有残差连接与层归一化。其作用是对输入序列进行双向上下文建模，提取富含语义的静态表征，不依赖位置顺序的显式建模（通过位置编码引入序信息）。

Decoder 同样由多层堆叠，但每层包含三部分：掩码多头自注意力（确保预测时仅依赖已生成内容）、编码器-解码器交叉注意力（融合 Encoder 输出）、以及前馈网络，同样含残差连接与层归一化。其作用是自回归地生成目标序列，具备单向因果约束。

应用场景差异显著：Encoder 主要用于理解类任务，如文本分类、命名实体识别、句子匹配等，典型模型如 BERT；Decoder 主要用于生成类任务，如机器翻译、文本摘要、对话生成等，典型模型如 GPT 系列；而 Encoder-Decoder 架构则适用于需输入输出映射的任务，如标准 Transformer 原始模型做翻译、语音识别、代码生成等。"
LLM基础与训练,架构取舍,LLM-B04,Decoder-only（GPT 类）为何适合生成？与 Encoder-Decoder（T5/BART 类）的权衡点是什么？,"architecture,tradeoff","Decoder-only架构适合生成，因其天然建模自回归概率分布 p(x_t | x_{<t})，通过单向注意力确保预测时无信息泄露，推理高效、解码流程简洁，且大规模预训练后对长程依赖和语言规律建模能力强。

Encoder-Decoder架构则显式分离理解与生成：encoder编码输入上下文，decoder基于该表示生成目标序列，天然支持输入输出不对称任务（如翻译、摘要），对噪声鲁棒性更强，可控性更高（如通过encoder输入指令或结构化提示）。

核心权衡点在于：Decoder-only更简单、可扩展性强、生成流畅度高，但缺乏对输入的显式结构化理解，难以精准遵循复杂约束；Encoder-Decoder灵活性与可控性更好，但模型更重、训练推理开销大，且需精心设计输入输出格式。实际选择取决于任务特性——开放生成倾向Decoder-only，有明确输入依赖或需强可控性的任务倾向Encoder-Decoder。"
LLM基础与训练,工具调用训练,LLM-B05,Function Call（工具调用）能力是怎么“训练”出来的？SFT / RLHF / 任务数据构造分别怎么做？,"function-calling,sft,rlhf","Function Call能力主要通过三阶段训练实现：  
第一阶段是监督微调（SFT）：构造高质量的工具调用指令数据，每条样本包含用户请求、可选工具描述（含名称、参数、用途）、模型应生成的标准调用格式（如JSON或特定标记），确保模型学会准确识别意图、选择工具、填充参数；数据来源包括人工编写、合成生成（基于API文档+场景模板）和少量真实日志脱敏清洗。  

第二阶段是奖励建模与RLHF：构建偏好数据，对同一请求下不同调用结果（正确/错误/冗余/遗漏）进行人工标注排序，训练奖励模型；再用PPO等算法优化策略，重点提升调用准确性、必要性和格式合规性，抑制幻觉调用和无效调用。  

第三阶段是任务数据构造的关键设计：强调工具感知的上下文建模，如显式注入工具文档、支持多步调用链、引入拒绝调用样本（当无需工具时），并覆盖边界情况（参数缺失、模糊请求、工具不可用等）。整个过程以“可执行性”为评估核心，最终能力依赖于数据质量、格式一致性与强化信号的精准性。"
LLM基础与训练,工具对齐,LLM-B06,Function Call 的“对齐目标”是什么？如何避免胡乱编参、乱选工具、工具幻觉？,"alignment,tool-hallucination","Function Call 的“对齐目标”是确保模型调用工具的行为严格服务于用户真实意图，即参数准确、工具恰当、结果可验证、过程可追溯。

避免胡乱编参、乱选工具和工具幻觉，需坚持三原则：  
第一，意图驱动——先完整理解用户请求，明确输入、输出、约束和成功标准，再反推所需工具及必要参数；  
第二，参数最小化与确定性——只传必需参数，拒绝推测缺失值，对不确定字段主动拒答或澄清，不补全、不假设；  
第三，工具调用可验证——所选工具必须有明确定义的输入输出契约，调用前校验参数类型与范围，调用后检查返回是否符合预期，异常时降级处理而非强行解释。

本质是把 Function Call 视为受控的确定性接口调用，而非生成式自由发挥。"
LLM基础与训练,微调方法,LLM-B07,常见微调方案有哪些？（SFT、LoRA/QLoRA、DPO/IPO、PPO、RLAIF、蒸馏）,"finetune,lora,dpo,rlhf",常见微调方案包括：监督微调（SFT），适用于指令对齐与任务适配；LoRA及量化版QLoRA，通过低秩分解高效更新参数，显著降低显存与计算开销；直接偏好优化（DPO）和隐式偏好优化（IPO），基于人类反馈偏好数据实现无需强化学习的对齐优化；近端策略优化（PPO），结合奖励模型进行端到端强化学习训练；RLAIF（基于AI反馈的强化学习），用AI模型替代人工标注偏好，提升反馈可扩展性；知识蒸馏，将大模型能力迁移至小模型，常用于模型压缩与部署优化。各方法在目标、资源消耗与对齐效果上各有侧重，需依场景权衡选择。
LLM基础与训练,微调实操,LLM-B08,微调的关键超参有哪些？如何判断过拟合/灾难性遗忘？,"hyperparam,overfit,forgetting","微调的关键超参包括：学习率（最关键，通常比预训练小1~2个数量级）、批量大小、训练轮数（epochs）、权重衰减、学习率调度策略（如线性预热+衰减）、梯度裁剪阈值。

判断过拟合：验证集损失上升或准确率下降，而训练集指标持续提升；模型在验证集上表现明显差于训练集。

判断灾难性遗忘：在原始预训练任务（如通用语言理解）或保留集（held-out pretrain tasks）上性能显著下降，同时新任务性能提升；典型表现为模型失去泛化能力或基础语言能力退化（如完形填空、语法判断等基础指标下滑）。实践中常通过保留一小部分预训练分布样本作为遗忘监测集来量化评估。"
LLM基础与训练,项目经验表达,LLM-B09,“你自己做过没有？”——从项目角度如何说明你做过的训练/微调/对齐经验与难点？,"interview,experience",我主导过多个LLM微调与对齐项目。例如，在金融客服场景中，基于Qwen-7B进行监督微调（SFT）和DPO对齐：先用2万条高质量人工标注的问答对优化指令遵循能力；再构建偏好数据集，通过DPO端到端优化回复的安全性与专业性。关键难点在于领域术语一致性不足和偏好数据稀疏——我们通过术语词典约束解码+专家抽样扩增偏好对，使业务指标（准确率、拒答率）提升18%。所有训练 pipeline 均自研，覆盖数据清洗、LoRA高效微调、多阶段对齐验证及离线/在线AB评估闭环。
LLM基础与训练,分词器,LLM-B10,分词器（Tokenizer）是什么？BPE/WordPiece/Unigram 的差别与取舍？,"tokenizer,bpe","分词器是将原始文本切分为模型可处理的子词单元（tokens）的工具，是NLP预处理的关键环节。  
BPE基于贪心合并策略，从字符级开始，迭代合并高频相邻子词对；优点是简单高效、压缩率高，但合并顺序依赖训练语料分布，可能产生不合理的长词片段。  
WordPiece类似BPE，但合并标准为最大化句子概率（即提升联合概率），更关注上下文适应性，被BERT采用；对OOV鲁棒，但训练更复杂。  
Unigram采用概率化生成式建模，假设每个token序列由独立同分布的子词生成，通过EM算法优化子词集；支持多粒度切分与置信度评估，利于控制词汇表大小和泛化性，但推理时需维特比解码，速度稍慢。  

取舍上：BPE适合资源受限、追求效率的场景；WordPiece在平衡性能与实现复杂度上更优，适配掩码语言建模；Unigram灵活性最强，适合多语言、低资源或需显式控制分词不确定性的任务。实际选择需权衡语种特性、数据规模、延迟要求与下游任务特性。"
LLM基础与训练,分词影响,LLM-B11,为什么分词会影响中英文、代码、专业术语效果？如何诊断 tokenizer 问题？,"tokenizer,diagnosis","分词影响效果的核心在于：中文无天然空格分隔，依赖规则或模型切分，易产生歧义；英文虽有空格，但子词切分（如Byte-Pair Encoding）可能割裂构词成分，损害语义完整性；代码和专业术语通常含特殊符号、大小写敏感、长命名，通用tokenizer常错误拆分，导致信息丢失或OOV。

诊断tokenizer问题的方法包括：  
1. 可视化分词结果，检查关键术语是否被异常切分；  
2. 统计OOV率及高频未登录词，定位领域适配缺口；  
3. 对比原始文本与分词后ID序列的长度膨胀比，识别过度切分；  
4. 在下游任务中做消融实验——替换为字粒度/词典增强/领域微调的tokenizer，观察指标变化；  
5. 构建最小测试集（含典型中英文混合句、函数名、化学式等），人工验证切分合理性。"
LLM基础与训练,Embedding,LLM-B12,Embedding 是什么？Token Embedding / Position Embedding / RoPE 等分别在做什么？,"embedding,rope","Embedding 是将离散符号（如词、字、token）映射为连续向量的可学习参数，使模型能以数值方式表征语义和结构信息。

Token Embedding 将每个输入 token（如子词或字）映射为固定维度的语义向量，承载词汇层面的含义。

Position Embedding 为每个位置添加唯一向量，显式注入序列顺序信息，弥补 Transformer 自注意力本身不具备位置感知的缺陷。

RoPE（Rotary Position Embedding）通过旋转矩阵将位置信息融入 query 和 key 的内积计算中，使相对位置关系在注意力分数中自然体现，具备外推性强、解耦性好、计算高效等优势。"
LLM基础与训练,Embedding工程,LLM-B13,Embedding 的维度、初始化、权重共享（input/output tying）对训练有什么影响？,"embedding,weight-tying","Embedding维度影响模型容量与泛化能力：维度过低导致表达能力不足、语义区分度差；过高则增加参数量、易过拟合、训练慢且内存开销大。实践中常在128–1024间权衡，依赖任务规模和词表大小。

初始化影响收敛速度与最终性能：均匀或正态分布的较小随机初始化（如Xavier/He）有助于稳定训练；零初始化或过大值易致梯度异常；预训练Embedding（如GloVe、BERT）可加速收敛并提升下游表现。

权重共享（input/output tying）指输入词嵌入矩阵与输出分类层权重矩阵共享参数。其优势包括：减少约一半参数量、隐式约束输入输出语义对齐、缓解输出层梯度稀疏问题，尤其在词表大时显著提升训练效率与泛化性；但要求输入输出词表一致，且可能限制模型表达灵活性，在某些生成任务中需谨慎使用。"
LLM基础与训练,模型选型,LLM-B14,“你们用的那个模型？”——如何在面试中说明选型依据（能力/成本/延迟/生态/合规）？,"model-selection,cost,latency",在选型时，我们综合评估了能力、成本、延迟、生态和合规五个维度。能力上，模型需满足业务场景的准确率和泛化要求，我们通过标准测试集和业务数据抽样验证；成本方面，权衡推理耗时、GPU资源占用与调用频次，选择性价比最优的中等规模模型；延迟要求端到端响应控制在500ms内，因此排除了部分大参数量但推理慢的模型；生态上优先选用有成熟微调工具链、监控能力和社区支持的模型，降低工程落地风险；合规层面严格遵循数据不出域、模型可审计的要求，最终选用通过备案、支持私有化部署的国产大模型。所有决策均基于AB测试与多轮评审。
